balancing_authority,date,daily_peak_mw,daily_min_mw,daily_max_ramp_mw,daily_ramp_std,hours_observed,daily_range_mw,pct_hours_near_peak,z_daily_peak_mw,z_daily_max_ramp_mw,z_pct_hours_near_peak,fragility_z,fragility_01
CISO,2025-01-01,24569.0,19914.0,1591.0,795.8660670636089,15,4655.0,0.2,-1.1568159794175243,-0.7995658597752354,-0.2978381238723989,-2.2542199630651587,0.05341110439755314
CISO,2025-01-02,27210.0,19711.0,1802.0,985.2757687976042,24,7499.0,0.16666666666666666,-0.5439367593218939,-0.5962297720783453,-0.7003319823485763,-1.8404985137488155,0.07534569466773192
CISO,2025-01-03,27142.0,21211.0,1820.0,916.4902452100716,24,5931.0,0.2916666666666667,-0.5597170648752838,-0.5788835655449612,0.8090199869370883,-0.32958064348315685,0.15545119674148955
CISO,2025-01-04,26605.0,20251.0,2384.0,945.4845998868456,24,6354.0,0.2916666666666667,-0.6843350660836721,-0.035369094165596006,0.8090199869370883,0.08931582668782023,0.17766015509742653
CISO,2025-01-05,25739.0,20118.0,2377.0,860.0637225717976,24,5621.0,0.16666666666666666,-0.8853018985724325,-0.04211484115080089,-0.7003319823485763,-1.6277487220718097,0.08662521502668921
CISO,2025-01-06,26516.0,20041.0,2395.0,1031.011722581974,24,6475.0,0.25,-0.7049887012932561,-0.024768634617416897,0.30590266384186665,-0.4238546720688063,0.15045299760638936
CISO,2025-01-07,26893.0,20645.0,2074.0,928.797366982187,24,6248.0,0.2916666666666667,-0.6175008307987264,-0.33410931779609815,0.8090199869370883,-0.1425901616577362,0.16536501583412197
CISO,2025-01-08,26817.0,20468.0,2027.0,884.8106558688872,24,6349.0,0.16666666666666666,-0.6351376428878094,-0.3794021904110453,-0.7003319823485763,-1.714871815647431,0.08200614254734458
CISO,2025-01-09,26503.0,20511.0,2263.0,981.1432070567596,24,5992.0,0.2916666666666667,-0.7080055244137571,-0.1519741491955662,0.8090199869370883,-0.05095968667223494,0.17022305964207554
CISO,2025-01-10,26183.0,20371.0,1751.0,924.3930078548922,24,5812.0,0.3333333333333333,-0.7822657858414745,-0.6453773572562665,1.3121373100323093,-0.11550583306543172,0.1668009666444964
CISO,2025-01-11,25838.0,20314.0,1703.0,805.9769647785371,24,5524.0,0.20833333333333334,-0.8623276301932324,-0.6916339080119572,-0.19721465925335463,-1.7511761974585442,0.08008136503978534
CISO,2025-01-12,24674.0,19865.0,2102.0,781.957826015359,24,4809.0,0.20833333333333334,-1.1324493311365547,-0.3071263298552786,-0.19721465925335463,-1.636790320245188,0.08614584961875986
CISO,2025-01-13,26986.0,20577.0,2558.0,1061.4132421692195,24,6409.0,0.125,-0.595918942321296,0.13231090232378262,-1.2034493054437976,-1.667057345441311,0.08454115931935384
